condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2022,4Runner,Toyota 4Runner TRD Pro,Used 2022 Toyota 4Runner TRD Pro,"$47,998","47,649 mi.",CarMax Costa Mesa,good-deal,https://www.cars.com/vehicledetail/aadcd2f7-3472-40f3-b0f4-ff7f9fd0eecb/?attribution_type=ship
Used,2018,4Runner,Toyota 4Runner SR5,Used 2018 Toyota 4Runner SR5,"$27,683","110,448 mi.",ABC Nissan,good-deal,https://www.cars.com/vehicledetail/21e074c1-cdd2-479c-b4a0-41718c2e383c/
Certified,2023,4Runner,Toyota 4Runner TRD Sport,Certified 2023 Toyota 4Runner TRD Sport,"$40,959","32,919 mi.",Right Toyota,great-deal,https://www.cars.com/vehicledetail/f873117c-453e-481c-801c-2d2dfba0448f/
Used,2004,4Runner,Toyota 4Runner SR5 Sport,Used 2004 Toyota 4Runner SR5 Sport,"$10,988","173,000 mi.",New Deal Pre-Owned Auto,good-deal,https://www.cars.com/vehicledetail/1afd7625-aeab-40e9-a0fd-685bb11840d3/
Used,2019,4Runner,Toyota 4Runner SR5,Used 2019 Toyota 4Runner SR5,"$25,888","103,757 mi.",Carizona,great-deal,https://www.cars.com/vehicledetail/e4a724bf-e514-4195-a59c-dd943263fc71/
Used,2008,4Runner,Toyota 4Runner SR5,Used 2008 Toyota 4Runner SR5,"$10,977","243,000 mi.",Sullivan Motor Company Inc.,fair-deal,https://www.cars.com/vehicledetail/711977ca-3a1d-4c8a-8d7c-15a3759094cb/
Used,2014,4Runner,Toyota 4Runner Limited,Used 2014 Toyota 4Runner Limited,"$22,655","158,336 mi.",Carizona,good-deal,https://www.cars.com/vehicledetail/18153acc-a9ce-4a15-b651-b0f4c0bfffdc/
Certified,2024,4Runner,Toyota 4Runner TRD Off Road Premium,Certified 2024 Toyota 4Runner TRD Off Road Premium,"$42,488","54,725 mi.",Camelback Toyota,great-deal,https://www.cars.com/vehicledetail/811a244d-6eb3-425d-8990-6227221f6c73/
Used,2018,4Runner,Toyota 4Runner Limited,Used 2018 Toyota 4Runner Limited,"$29,800","99,380 mi.",Yates Buick GMC,good-deal,https://www.cars.com/vehicledetail/974e7fc6-5ba6-491a-84d4-60e63c9d64ec/
Used,2023,4Runner,Toyota 4Runner TRD Off Road Premium,Used 2023 Toyota 4Runner TRD Off Road Premium,"$47,699","20,207 mi.",AutoNation Nissan Tempe,great-deal,https://www.cars.com/vehicledetail/491e35e9-ad40-4f67-8d22-4f21607ae193/
Used,2025,4Runner,Toyota 4Runner SR5,Used 2025 Toyota 4Runner SR5,"$39,073","17,272 mi.",Bill Luke Tempe,great-deal,https://www.cars.com/vehicledetail/9dee7a86-1aa3-4789-8dd9-913467db6332/
Used,2018,4Runner,Toyota 4Runner Limited,Used 2018 Toyota 4Runner Limited,"$24,997","122,348 mi.",EchoPark Automotive Phoenix,great-deal,https://www.cars.com/vehicledetail/10558605-091f-478e-8b9c-abf30574c800/
Used,2023,4Runner,Toyota 4Runner SR5,Used 2023 Toyota 4Runner SR5,"$29,995","98,911 mi.",Brown & Brown Wholesale,great-deal,https://www.cars.com/vehicledetail/5b57ec89-6565-4bc3-b593-ef1033f4d9fb/
Used,2023,4Runner,Toyota 4Runner TRD Off Road Premium,Used 2023 Toyota 4Runner TRD Off Road Premium,"$46,491","29,856 mi.",Auto Boom LLC,good-deal,https://www.cars.com/vehicledetail/d6ed62f2-7e23-4bb7-b146-7f6d73f8f75c/
Used,2023,4Runner,Toyota 4Runner TRD Off Road Premium,Used 2023 Toyota 4Runner TRD Off Road Premium,"$41,995","31,160 mi.",Rollit Motors,great-deal,https://www.cars.com/vehicledetail/450a7e7d-b506-47c8-8187-31292a07ddd2/
Used,2025,4Runner,Toyota 4Runner SR5,Used 2025 Toyota 4Runner SR5,"$38,791","22,474 mi.",Hertz Car Sales Scottsdale,good-deal,https://www.cars.com/vehicledetail/1ca35904-23a8-41cf-a2ba-fdafd7e38f06/
Used,2007,4Runner,Toyota 4Runner SR5,Used 2007 Toyota 4Runner SR5,"$7,266","298,378 mi.",Automart Superstore,great-deal,https://www.cars.com/vehicledetail/eda3cfe9-e16e-484a-a3da-5e6be942945e/
Used,2022,4Runner,Toyota 4Runner SR5 Premium,Used 2022 Toyota 4Runner SR5 Premium,"$39,750","58,329 mi.",House of Cars Arizona,good-deal,https://www.cars.com/vehicledetail/ff6f0401-8009-4c60-867e-988efdfc1c25/
Used,2012,4Runner,Toyota 4Runner SR5,Used 2012 Toyota 4Runner SR5,"$15,750","207,150 mi.",HSF Auto Brokers,good-deal,https://www.cars.com/vehicledetail/06fdf825-f5af-4c2c-9e4b-36c9617ae2cc/
Used,2003,4Runner,Toyota 4Runner SR5,Used 2003 Toyota 4Runner SR5,"$15,996","111,099 mi.",I-10 Automotive Group,fair-deal,https://www.cars.com/vehicledetail/6c25dec6-9479-4f65-ba1d-6873e2065a65/
Used,2022,4Runner,Toyota 4Runner TRD Off Road Premium,Used 2022 Toyota 4Runner TRD Off Road Premium,"$42,376","57,570 mi.",Coulter Tempe,good-deal,https://www.cars.com/vehicledetail/828bdaf1-1f8e-4749-96a7-042bbc8cda33/
Used,2024,4Runner,Toyota 4Runner TRD Off Road,Used 2024 Toyota 4Runner TRD Off Road,"$38,693","58,804 mi.",Pinnacle Nissan,good-deal,https://www.cars.com/vehicledetail/20b10018-be29-465d-8741-13dec4d54c0c/
Used,2016,4Runner,Toyota 4Runner Trail Premium,Used 2016 Toyota 4Runner Trail Premium,"$24,900","115,620 mi.",Carz R Us LLC,good-deal,https://www.cars.com/vehicledetail/a971a676-ae02-4137-a82b-30560f5e794a/
Used,2016,4Runner,Toyota 4Runner Limited,Used 2016 Toyota 4Runner Limited,"$27,998","84,061 mi.",CarMax Santa Fe,good-deal,https://www.cars.com/vehicledetail/8fac3ad7-297a-4ec3-98cb-b3d0ddb4596d/?attribution_type=ship
Used,2025,4Runner,Toyota 4Runner SR5,Used 2025 Toyota 4Runner SR5,"$49,998","11,849 mi.",CarMax Costa Mesa,fair-deal,https://www.cars.com/vehicledetail/bfc33077-efad-4f31-9b52-563c74fc9b54/?attribution_type=ship
